UF;Município;Município-UF;IBGE
AM;Rio Preto da Eva;Rio Preto da Eva-AM;1303569
AM;Santa Isabel do Rio Negro;Santa Isabel do Rio Negro-AM;1303601
AM;Santo Antônio do Içá;Santo Antônio do Içá-AM;1303700
AM;São Gabriel da Cachoeira;São Gabriel da Cachoeira-AM;1303809
AM;São Paulo de Olivença;São Paulo de Olivença-AM;1303908
AM;São Sebastião do Uatumã;São Sebastião do Uatumã-AM;1303957
AM;Silves;Silves-AM;1304005
AM;Tabatinga;Tabatinga-AM;1304062
AM;Tapauá;Tapauá-AM;1304104
AM;Tefé;Tefé-AM;1304203
AM;Tonantins;Tonantins-AM;1304237
AM;Uarini;Uarini-AM;1304260
AM;Urucará;Urucará-AM;1304302
AM;Urucurituba;Urucurituba-AM;1304401
RR;Alto Alegre;Alto Alegre-RR;1400050
RR;Amajari;Amajari-RR;1400027
RR;Boa Vista;Boa Vista-RR;1400100
RR;Bonfim;Bonfim-RR;1400159
RR;Cantá;Cantá-RR;1400175
RR;Caracaraí;Caracaraí-RR;1400209
RR;Caroebe;Caroebe-RR;1400233
RR;Iracema;Iracema-RR;1400282
RR;Mucajaí;Mucajaí-RR;1400308
RR;Normandia;Normandia-RR;1400407
RR;Pacaraima;Pacaraima-RR;1400456
RR;Rorainópolis;Rorainópolis-RR;1400472
RR;São João da Baliza;São João da Baliza-RR;1400506
RR;São Luiz;São Luiz-RR;1400605
RR;Uiramutã;Uiramutã-RR;1400704
PA;Abaetetuba;Abaetetuba-PA;1500107
PA;Abel Figueiredo;Abel Figueiredo-PA;1500131
PA;Acará;Acará-PA;1500206
PA;Afuá;Afuá-PA;1500305
PA;Água Azul do Norte;Água Azul do Norte-PA;1500347
PA;Alenquer;Alenquer-PA;1500404
PA;Almeirim;Almeirim-PA;1500503
PA;Altamira;Altamira-PA;1500602
PA;Anajás;Anajás-PA;1500701
PA;Ananindeua;Ananindeua-PA;1500800
PA;Anapu;Anapu-PA;1500859
PA;Augusto Corrêa;Augusto Corrêa-PA;1500909
PA;Aurora do Pará;Aurora do Pará-PA;1500958
PA;Aveiro;Aveiro-PA;1501006
PA;Bagre;Bagre-PA;1501105
PA;Baião;Baião-PA;1501204
PA;Bannach;Bannach-PA;1501253
PA;Barcarena;Barcarena-PA;1501303
PA;Belém;Belém-PA;1501402
PA;Belterra;Belterra-PA;1501451
PA;Benevides;Benevides-PA;1501501
PA;Bom Jesus do Tocantins;Bom Jesus do Tocantins-PA;1501576
PA;Bonito;Bonito-PA;1501600
PA;Bragança;Bragança-PA;1501709
PA;Brasil Novo;Brasil Novo-PA;1501725
PA;Brejo Grande do Araguaia;Brejo Grande do Araguaia-PA;1501758
PA;Breu Branco;Breu Branco-PA;1501782
PA;Breves;Breves-PA;1501808
PA;Bujaru;Bujaru-PA;1501907
PA;Cachoeira do Arari;Cachoeira do Arari-PA;1502004
PA;Cachoeira do Piriá;Cachoeira do Piriá-PA;1501956
PA;Cametá;Cametá-PA;1502103
PA;Canaã dos Carajás;Canaã dos Carajás-PA;1502152
PA;Capanema;Capanema-PA;1502202
PA;Capitão Poço;Capitão Poço-PA;1502301
PA;Castanhal;Castanhal-PA;1502400
PA;Chaves;Chaves-PA;1502509
PA;Colares;Colares-PA;1502608
PA;Conceição do Araguaia;Conceição do Araguaia-PA;1502707
PA;Concórdia do Pará;Concórdia do Pará-PA;1502756
PA;Cumaru do Norte;Cumaru do Norte-PA;1502764
PA;Curionópolis;Curionópolis-PA;1502772
PA;Curralinho;Curralinho-PA;1502806
PA;Curuá;Curuá-PA;1502855
PA;Curuçá;Curuçá-PA;1502905
PA;Dom Eliseu;Dom Eliseu-PA;1502939
PA;Eldorado do Carajás;Eldorado do Carajás-PA;1502954
PA;Faro;Faro-PA;1503002
PA;Floresta do Araguaia;Floresta do Araguaia-PA;1503044
PA;Garrafão do Norte;Garrafão do Norte-PA;1503077
PA;Goianésia do Pará;Goianésia do Pará-PA;1503093
PA;Gurupá;Gurupá-PA;1503101
PA;Igarapé-Açu;Igarapé-Açu-PA;1503200
PA;Igarapé-Miri;Igarapé-Miri-PA;1503309
PA;Inhangapi;Inhangapi-PA;1503408
PA;Ipixuna do Pará;Ipixuna do Pará-PA;1503457
PA;Irituia;Irituia-PA;1503507
PA;Itaituba;Itaituba-PA;1503606
PA;Itupiranga;Itupiranga-PA;1503705
PA;Jacareacanga;Jacareacanga-PA;1503754
PA;Jacundá;Jacundá-PA;1503804
PA;Juruti;Juruti-PA;1503903
PA;Limoeiro do Ajuru;Limoeiro do Ajuru-PA;1504000
PA;Mãe do Rio;Mãe do Rio-PA;1504059
PA;Magalhães Barata;Magalhães Barata-PA;1504109
PA;Marabá;Marabá-PA;1504208
PA;Maracanã;Maracanã-PA;1504307
PA;Marapanim;Marapanim-PA;1504406
PA;Marituba;Marituba-PA;1504422
PA;Medicilândia;Medicilândia-PA;1504455
PA;Melgaço;Melgaço-PA;1504505
PA;Mocajuba;Mocajuba-PA;1504604
PA;Moju;Moju-PA;1504703
PA;Mojuí dos Campos;Mojuí dos Campos-PA;1504752
PA;Monte Alegre;Monte Alegre-PA;1504802
PA;Muaná;Muaná-PA;1504901
PA;Nova Esperança do Piriá;Nova Esperança do Piriá-PA;1504950
PA;Nova Ipixuna;Nova Ipixuna-PA;1504976
PA;Nova Timboteua;Nova Timboteua-PA;1505007
PA;Novo Progresso;Novo Progresso-PA;1505031
PA;Novo Repartimento;Novo Repartimento-PA;1505064
PA;Óbidos;Óbidos-PA;1505106
PA;Oeiras do Pará;Oeiras do Pará-PA;1505205
PA;Oriximiná;Oriximiná-PA;1505304
PA;Ourém;Ourém-PA;1505403
PA;Ourilândia do Norte;Ourilândia do Norte-PA;1505437
PA;Pacajá;Pacajá-PA;1505486
PA;Palestina do Pará;Palestina do Pará-PA;1505494
PA;Paragominas;Paragominas-PA;1505502
PA;Parauapebas;Parauapebas-PA;1505536
PA;Pau D'Arco;Pau D'Arco-PA;1505551
PA;Peixe-Boi;Peixe-Boi-PA;1505601
PA;Piçarra;Piçarra-PA;1505635
PA;Placas;Placas-PA;1505650
PA;Ponta de Pedras;Ponta de Pedras-PA;1505700
PA;Portel;Portel-PA;1505809
PA;Porto de Moz;Porto de Moz-PA;1505908
PA;Prainha;Prainha-PA;1506005
PA;Primavera;Primavera-PA;1506104
PA;Quatipuru;Quatipuru-PA;1506112
PA;Redenção;Redenção-PA;1506138
PA;Rio Maria;Rio Maria-PA;1506161
PA;Rondon do Pará;Rondon do Pará-PA;1506187
PA;Rurópolis;Rurópolis-PA;1506195
PA;Salinópolis;Salinópolis-PA;1506203
PA;Salvaterra;Salvaterra-PA;1506302
PA;Santa Bárbara do Pará;Santa Bárbara do Pará-PA;1506351
PA;Santa Cruz do Arari;Santa Cruz do Arari-PA;1506401
PA;Santa Izabel do Pará;Santa Izabel do Pará-PA;1506500
PA;Santa Luzia do Pará;Santa Luzia do Pará-PA;1506559
PA;Santa Maria das Barreiras;Santa Maria das Barreiras-PA;1506583
PA;Santa Maria do Pará;Santa Maria do Pará-PA;1506609
PA;Santana do Araguaia;Santana do Araguaia-PA;1506708
PA;Santarém;Santarém-PA;1506807
PA;Santarém Novo;Santarém Novo-PA;1506906
PA;Santo Antônio do Tauá;Santo Antônio do Tauá-PA;1507003
PA;São Caetano de Odivelas;São Caetano de Odivelas-PA;1507102
PA;São Domingos do Araguaia;São Domingos do Araguaia-PA;1507151
PA;São Domingos do Capim;São Domingos do Capim-PA;1507201
PA;São Félix do Xingu;São Félix do Xingu-PA;1507300
PA;São Francisco do Pará;São Francisco do Pará-PA;1507409
PA;São Geraldo do Araguaia;São Geraldo do Araguaia-PA;1507458
PA;São João da Ponta;São João da Ponta-PA;1507466
PA;São João de Pirabas;São João de Pirabas-PA;1507474
PA;São João do Araguaia;São João do Araguaia-PA;1507508
PA;São Miguel do Guamá;São Miguel do Guamá-PA;1507607
PA;São Sebastião da Boa Vista;São Sebastião da Boa Vista-PA;1507706
PA;Sapucaia;Sapucaia-PA;1507755
PA;Senador José Porfírio;Senador José Porfírio-PA;1507805
PA;Soure;Soure-PA;1507904
PA;Tailândia;Tailândia-PA;1507953
PA;Terra Alta;Terra Alta-PA;1507961
PA;Terra Santa;Terra Santa-PA;1507979
PA;Tomé-Açu;Tomé-Açu-PA;1508001
PA;Tracuateua;Tracuateua-PA;1508035
PA;Trairão;Trairão-PA;1508050
PA;Tucumã;Tucumã-PA;1508084
PA;Tucuruí;Tucuruí-PA;1508100
PA;Ulianópolis;Ulianópolis-PA;1508126
PA;Uruará;Uruará-PA;1508159
PA;Vigia;Vigia-PA;1508209
PA;Viseu;Viseu-PA;1508308
PA;Vitória do Xingu;Vitória do Xingu-PA;1508357
PA;Xinguara;Xinguara-PA;1508407
AP;Amapá;Amapá-AP;1600105
AP;Calçoene;Calçoene-AP;1600204
AP;Cutias;Cutias-AP;1600212
AP;Ferreira Gomes;Ferreira Gomes-AP;1600238
AP;Itaubal;Itaubal-AP;1600253
AP;Laranjal do Jari;Laranjal do Jari-AP;1600279
AP;Macapá;Macapá-AP;1600303
AP;Mazagão;Mazagão-AP;1600402
AP;Oiapoque;Oiapoque-AP;1600501
AP;Pedra Branca do Amapari;Pedra Branca do Amapari-AP;1600154
AP;Porto Grande;Porto Grande-AP;1600535
AP;Pracuúba;Pracuúba-AP;1600550
AP;Santana;Santana-AP;1600600
AP;Serra do Navio;Serra do Navio-AP;1600055
AP;Tartarugalzinho;Tartarugalzinho-AP;1600709
AP;Vitória do Jari;Vitória do Jari-AP;1600808
TO;Abreulândia;Abreulândia-TO;1700251
TO;Aguiarnópolis;Aguiarnópolis-TO;1700301
TO;Aliança do Tocantins;Aliança do Tocantins-TO;1700350
TO;Almas;Almas-TO;1700400
TO;Alvorada;Alvorada-TO;1700707
TO;Ananás;Ananás-TO;1701002
TO;Angico;Angico-TO;1701051
TO;Aparecida do Rio Negro;Aparecida do Rio Negro-TO;1701101
TO;Aragominas;Aragominas-TO;1701309
TO;Araguacema;Araguacema-TO;1701903
TO;Araguaçu;Araguaçu-TO;1702000
TO;Araguaína;Araguaína-TO;1702109
TO;Araguanã;Araguanã-TO;1702158
TO;Araguatins;Araguatins-TO;1702208
TO;Arapoema;Arapoema-TO;1702307
TO;Arraias;Arraias-TO;1702406
TO;Augustinópolis;Augustinópolis-TO;1702554
TO;Aurora do Tocantins;Aurora do Tocantins-TO;1702703
TO;Axixá do Tocantins;Axixá do Tocantins-TO;1702901
TO;Babaçulândia;Babaçulândia-TO;1703008
TO;Bandeirantes do Tocantins;Bandeirantes do Tocantins-TO;1703057
TO;Barra do Ouro;Barra do Ouro-TO;1703073
TO;Barrolândia;Barrolândia-TO;1703107
TO;Bernardo Sayão;Bernardo Sayão-TO;1703206
TO;Bom Jesus do Tocantins;Bom Jesus do Tocantins-TO;1703305
TO;Brasilândia do Tocantins;Brasilândia do Tocantins-TO;1703602
TO;Brejinho de Nazaré;Brejinho de Nazaré-TO;1703701
TO;Buriti do Tocantins;Buriti do Tocantins-TO;1703800
TO;Cachoeirinha;Cachoeirinha-TO;1703826
TO;Campos Lindos;Campos Lindos-TO;1703842
TO;Cariri do Tocantins;Cariri do Tocantins-TO;1703867
TO;Carmolândia;Carmolândia-TO;1703883
TO;Carrasco Bonito;Carrasco Bonito-TO;1703891
TO;Caseara;Caseara-TO;1703909
TO;Centenário;Centenário-TO;1704105
TO;Chapada da Natividade;Chapada da Natividade-TO;1705102
TO;Chapada de Areia;Chapada de Areia-TO;1704600
TO;Colinas do Tocantins;Colinas do Tocantins-TO;1705508
TO;Colméia;Colméia-TO;1716703
TO;Combinado;Combinado-TO;1705557
TO;Conceição do Tocantins;Conceição do Tocantins-TO;1705607
TO;Couto Magalhães;Couto Magalhães-TO;1706001
TO;Cristalândia;Cristalândia-TO;1706100
TO;Crixás do Tocantins;Crixás do Tocantins-TO;1706258
TO;Darcinópolis;Darcinópolis-TO;1706506
TO;Dianópolis;Dianópolis-TO;1707009
TO;Divinópolis do Tocantins;Divinópolis do Tocantins-TO;1707108
TO;Dois Irmãos do Tocantins;Dois Irmãos do Tocantins-TO;1707207
TO;Dueré;Dueré-TO;1707306
TO;Esperantina;Esperantina-TO;1707405
TO;Fátima;Fátima-TO;1707553
TO;Figueirópolis;Figueirópolis-TO;1707652
TO;Filadélfia;Filadélfia-TO;1707702
TO;Formoso do Araguaia;Formoso do Araguaia-TO;1708205
TO;Fortaleza do Tabocão;Fortaleza do Tabocão-TO;1708254
TO;Goianorte;Goianorte-TO;1708304
TO;Goiatins;Goiatins-TO;1709005
TO;Guaraí;Guaraí-TO;1709302
TO;Gurupi;Gurupi-TO;1709500
TO;Ipueiras;Ipueiras-TO;1709807
TO;Itacajá;Itacajá-TO;1710508
TO;Itaguatins;Itaguatins-TO;1710706
TO;Itapiratins;Itapiratins-TO;1710904
TO;Itaporã do Tocantins;Itaporã do Tocantins-TO;1711100
TO;Jaú do Tocantins;Jaú do Tocantins-TO;1711506
TO;Juarina;Juarina-TO;1711803
TO;Lagoa da Confusão;Lagoa da Confusão-TO;1711902
TO;Lagoa do Tocantins;Lagoa do Tocantins-TO;1711951
TO;Lajeado;Lajeado-TO;1712009
TO;Lavandeira;Lavandeira-TO;1712157
TO;Lizarda;Lizarda-TO;1712405
TO;Luzinópolis;Luzinópolis-TO;1712454
TO;Marianópolis do Tocantins;Marianópolis do Tocantins-TO;1712504
TO;Mateiros;Mateiros-TO;1712702
TO;Maurilândia do Tocantins;Maurilândia do Tocantins-TO;1712801
TO;Miracema do Tocantins;Miracema do Tocantins-TO;1713205
TO;Miranorte;Miranorte-TO;1713304
TO;Monte do Carmo;Monte do Carmo-TO;1713601
TO;Monte Santo do Tocantins;Monte Santo do Tocantins-TO;1713700
TO;Muricilândia;Muricilândia-TO;1713957
TO;Natividade;Natividade-TO;1714203
TO;Nazaré;Nazaré-TO;1714302
TO;Nova Olinda;Nova Olinda-TO;1714880
TO;Nova Rosalândia;Nova Rosalândia-TO;1715002
TO;Novo Acordo;Novo Acordo-TO;1715101
TO;Novo Alegre;Novo Alegre-TO;1715150
TO;Novo Jardim;Novo Jardim-TO;1715259
TO;Oliveira de Fátima;Oliveira de Fátima-TO;1715507
